epoch,loss,hits5_tr,hits5_val
1,0.477977,0.483617,0.433645
2,0.457297,0.513325,0.446729
3,0.454390,0.530799,0.452336
4,0.453149,0.518567,0.446729
5,0.451895,0.519878,0.461682
6,0.452297,0.530363,0.484112
7,0.449005,0.528178,0.461682
8,0.450857,0.509393,0.450467
9,0.450109,0.502840,0.454206
10,0.449810,0.525994,0.476636
11,0.449321,0.520751,0.476636
12,0.449587,0.474880,0.416822
13,0.447270,0.533421,0.471028
14,0.445774,0.542158,0.474766
15,0.447471,0.491044,0.444860
16,0.445721,0.527304,0.485981
17,0.445706,0.546964,0.465421
18,0.446214,0.531673,0.485981
19,0.443240,0.528615,0.499065
20,0.444687,0.498034,0.450467
21,0.444661,0.513761,0.446729
22,0.442747,0.546964,0.472897
23,0.442928,0.531236,0.484112
24,0.443183,0.527741,0.474766
25,0.443206,0.503277,0.452336
26,0.442790,0.538663,0.463551
27,0.442542,0.530363,0.474766
28,0.440499,0.518567,0.437383
29,0.441015,0.539100,0.510280
30,0.440239,0.534731,0.459813
